iter	Logloss
0	0.6242505112
1	0.5697115804
2	0.5196309291
3	0.4757070054
4	0.4383818812
5	0.4085336778
6	0.3785632452
7	0.3541357823
8	0.3338530052
9	0.3136882497
10	0.2945925294
11	0.2777506629
12	0.2628876221
13	0.2508093125
14	0.2389538382
15	0.2289822764
16	0.2173157649
17	0.207672371
18	0.1993814474
19	0.1920652802
20	0.1863775583
21	0.1808785899
22	0.1742233556
23	0.1693129255
24	0.164860264
25	0.159278173
26	0.1551300802
27	0.1520263656
28	0.1488662484
29	0.1450683745
30	0.1421925566
31	0.1391216737
32	0.1359399844
33	0.1332633589
34	0.1308761686
35	0.1283393529
36	0.126135731
37	0.123797523
38	0.1218281454
39	0.1197986598
40	0.1181168311
41	0.1160234688
42	0.1144505673
43	0.1126242946
44	0.1116563458
45	0.1103215991
46	0.1092562602
47	0.1081860613
48	0.1062916189
49	0.1055634804
