iter	Passed	Remaining
0	137	6741
1	138	3330
2	140	2194
3	141	1627
4	142	1282
5	143	1052
6	144	887
7	145	764
8	146	668
9	147	589
10	148	525
11	148	471
12	149	425
13	150	386
14	151	352
15	151	322
16	152	296
17	153	272
18	153	251
19	154	231
20	155	214
21	155	198
22	156	183
23	157	170
24	157	157
25	158	146
26	159	135
27	159	125
28	160	116
29	160	107
30	161	98
31	162	91
32	162	83
33	163	76
34	163	70
35	164	63
36	164	57
37	165	52
38	165	46
39	166	41
40	166	36
41	167	31
42	167	27
43	168	22
44	168	18
45	169	14
46	169	10
47	170	7
48	170	3
49	171	0
